,Project ID,country_atlas,un-region,bureau,year,title_atlas,description,sector,budget_atlas,expense,sdgs,solution,donors_atlas,funding source,lifetime budget
0,88841,AFG,Asia-Pacific Group,RBAP,2015,Afghanistan Sustainable Energy for Rural Development,"Economic growth is accelerated to reduce vulnerabilities and poverty, strengthen the resilience of the licit economy and reduce the illicit economy in its multiple dimensions","[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '17', 'name': 'Eradicate poverty in all its forms and dimensions'}]",280000,201622,"[1, 7]","['Others', 'Keeping people out of poverty']","['GOVERNMENT OF REPUBLIC OF KOREA', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,11006244
1,88841,AFG,Asia-Pacific Group,RBAP,2016,Afghanistan Sustainable Energy for Rural Development,"Economic growth is accelerated to reduce vulnerabilities and poverty, strengthen the resilience of the licit economy and reduce the illicit economy in its multiple dimensions","[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '17', 'name': 'Eradicate poverty in all its forms and dimensions'}]",987082,974700,"[1, 7]","['Others', 'Keeping people out of poverty']","['GOVERNMENT OF REPUBLIC OF KOREA', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,11006244
2,93793,AFG,Asia-Pacific Group,RBAP,2016,National Human Development Report,National Human Development Report Extractive Industry and Human Development in Afghanistan ,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '17', 'name': 'Eradicate poverty in all its forms and dimensions'}]",83225,77214,"[1, 2, 7]",['Others'],['UNITED NATIONS DEVELOPMENT PRO'],Non-VF,1236517
3,88841,AFG,Asia-Pacific Group,RBAP,2017,Afghanistan Sustainable Energy for Rural Development,"Economic growth is accelerated to reduce vulnerabilities and poverty, strengthen the resilience of the licit economy and reduce the illicit economy in its multiple dimensions","[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '17', 'name': 'Eradicate poverty in all its forms and dimensions'}]",3738010,2130247,"[1, 7]","['Others', 'Keeping people out of poverty']","['GOVERNMENT OF REPUBLIC OF KOREA', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,11006244
4,94515,AFG,Asia-Pacific Group,RBAP,2017,Support Afghanistan Livelihoods and Mobility (SALAM) Project,Support Afghanistan Livelihoods and Mobility (SALAM),"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '17', 'name': 'Eradicate poverty in all its forms and dimensions'}]",1601562,304080,"[1, 7, 8, 9]","['Others', 'Close the energy gap']","['GOVERNMENT OF FINLAND', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,6232737
5,93793,AFG,Asia-Pacific Group,RBAP,2017,National Human Development Report,National Human Development Report Extractive Industry and Human Development in Afghanistan ,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '17', 'name': 'Eradicate poverty in all its forms and dimensions'}]",454779,285887,"[1, 2, 7]",['Others'],['UNITED NATIONS DEVELOPMENT PRO'],Non-VF,1236517
6,94515,AFG,Asia-Pacific Group,RBAP,2018,Support Afghanistan Livelihoods and Mobility (SALAM) Project,Support Afghanistan Livelihoods and Mobility (SALAM),"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '17', 'name': 'Eradicate poverty in all its forms and dimensions'}]",3106295,1404072,"[1, 7, 8, 9]","['Others', 'Close the energy gap']","['GOVERNMENT OF FINLAND', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,6232737
7,88841,AFG,Asia-Pacific Group,RBAP,2018,Afghanistan Sustainable Energy for Rural Development,"Economic growth is accelerated to reduce vulnerabilities and poverty, strengthen the resilience of the licit economy and reduce the illicit economy in its multiple dimensions","[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '17', 'name': 'Eradicate poverty in all its forms and dimensions'}]",2834745,1778326,"[1, 7]","['Others', 'Keeping people out of poverty']","['GOVERNMENT OF REPUBLIC OF KOREA', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,11006244
8,93793,AFG,Asia-Pacific Group,RBAP,2018,National Human Development Report,National Human Development Report Extractive Industry and Human Development in Afghanistan ,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '17', 'name': 'Eradicate poverty in all its forms and dimensions'}]",412944,327387,"[1, 2, 7]",['Others'],['UNITED NATIONS DEVELOPMENT PRO'],Non-VF,1236517
9,88841,AFG,Asia-Pacific Group,RBAP,2019,Afghanistan Sustainable Energy for Rural Development,"Economic growth is accelerated to reduce vulnerabilities and poverty, strengthen the resilience of the licit economy and reduce the illicit economy in its multiple dimensions","[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '17', 'name': 'Eradicate poverty in all its forms and dimensions'}]",1729221,1901488,"[1, 7]","['Others', 'Keeping people out of poverty']","['GOVERNMENT OF REPUBLIC OF KOREA', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,11006244
